date,mels_S,lig_S,mels_N,hvac_N,hvac_S,Unnamed: 6,,,,,,,,,,,,,,,,,,
2018/1/1,110.600001,44.85000007,807.5500002,3444.670029,1880.010003,0,,,,,,,,,,,,,,,,,,
2018/1/2,302.4250002,197.2749992,1156.225004,4121.630019,2264.669996,0,,,,,,,,,,,,,,,,,,
2018/1/3,363.8749995,255.4750032,973.7699976,4158.550021,2139.14,0,,,,,,,,,,,,,,,,,,
2018/1/4,361.9400005,223.6400024,1126.944997,4143.140018,2259.229999,0,,,,,,,,,,,,,,,,,,
2018/1/5,322.440001,240.7900044,917.8299855,4322.150008,1907.930001,0,,,,,,,,,,,,,,,,,,
2018/1/6,132.6999998,49.05000049,668.7700066,3748.59,2005.19,0,,,,,,,,,,,,,,,,,,
2018/1/7,132.4000002,21.20000053,608.0650032,3522.9,1788.33,0,,,,,,,,,,,,,,,,,,
2018/1/8,257.9149989,209.3150044,919.2099981,4177.45,2145.89,0,,,,,,2018,2019,2020,,,2018,2019,2020,,,2018,2019,2020
2018/1/9,404.0050059,186.405,956.5849846,4038.55,2207.58,0,,,,,hvac_N,1194993.727,630267.5964,330128.3869,,hvac,1913722.116,1011657.756,1231803.487,,hvac,74.87497396,60.55614083,88.15216556
2018/1/10,278.3900001,182.625002,1029.400002,4142.44,2210.82,0,,,,,hvac_S,718728.3896,381390.16,901675.0997,,mels,527076.495,524818.0463,114190.9466,,mels,20.62203206,31.41473025,8.171903506
2018/1/11,276.5349949,188.3800023,1440.085037,4216.54,2384.86,0,,,,,mels_N,408483.4122,411919.3209,80645.31855,,lig,115091.5815,134135.5384,51366.00462,,ligs,4.502993981,8.029128923,3.675930936
2018/1/12,335.7799976,284.5450057,774.7500054,4255.39,2274.7,0,,,,,mels_S,118593.0828,112898.7254,33545.62806,,total,2555890.193,1670611.341,1397360.438,,,,,
2018/1/13,150.09,72.34000086,884.5500004,3566.01,1626.85,0,,,,,lig_N,57545.79077,67067.76919,25683.00231,,,,,,,,,,
2018/1/14,133.2499997,39.64999958,851.9999998,3555.91,1271.79,0,,,,,lig_S,57545.79077,67067.76919,25683.00231,,,,,,,,,,
2018/1/15,101.8499996,34.07000028,473.4149978,3617.03,1985.71,0,,,,,,,,,,,,,,,,,,
2018/1/16,263.0071402,117.4621447,839.3505266,4373.12,2234.5,0,,,,,,,,,,,,,,,,,,
2018/1/17,417.0828563,144.587855,828.4479978,4489.88,2266.94,0,,,,,,,,,,,,,,,,,,
2018/1/18,324.998333,245.850003,932.9221811,4343.57,2184.09,0,,,,,,,,,,,,,,,,,,
2018/1/19,285.9814862,164.155003,845.2692952,4163.67,2050.47,0,,,,,,,,,,,,,,,,,,
2018/1/20,148.235185,54.50000034,825.3349941,3508.12,1700.41,0,,,,,,,,,,,,,,,,,,
2018/1/21,139.9499997,14.1000002,753.1849958,2737.51,2039.98,0,,,,,,,,,,,,,,,,,,
2018/1/22,177.7040898,138.3428575,854.515285,2694.13,2408.92,0,,,,,,,,,,,,,,,,,,
2018/1/23,380.9909087,179.667146,1198.85971,3257.89,2624.745,0,,,,,,,,,,,,,,,,,,
2018/1/24,385.9399989,266.6900047,1177.235012,5011.05,2113.73,0,,,,,,,,,,,,,,,,,,
2018/1/25,449.8249956,199.4700008,1262.904978,4434.54,2111.3,0,,,,,,,,,,,,,,,,,,
2018/1/26,452.7399986,236.6900029,1239.005006,4563.13,2125.76,0,,,,,,,,,,,,,,,,,,
2018/1/27,175.5900005,75.58000169,821.6149972,3765.435,1802.225,0,,,,,,,,,,,,,,,,,,
2018/1/28,135.3000009,14.55000021,655.0599992,4141.56,1953.55,0,,,,,,,,,,,,,,,,,,
2018/1/29,298.5000051,202.2100015,839.9950054,4477.48,2420.77,0,,,,,,,,,,,,,,,,,,
2018/1/30,354.8399996,202.7250011,1151.609999,4384.65,2301.77,0,,,,,,,,,,,,,,,,,,
2018/1/31,370.3199983,218.6250022,1203.244995,4603.26,2601.89,0,,,,,,,,,,,,,,,,,,
2018/2/1,373.879997,232.2800012,1346.94,4408.26,2798.98,0,,,,,,,,,,,,,,,,,,
2018/2/2,383.2500022,186.5999993,1174.174988,4077.6,3051.82,0,,,,,,,,,,,,,,,,,,
2018/2/3,202.8699996,91.93500098,778.7000002,3597.24,2524.05,0,,,,,,,,,,,,,,,,,,
2018/2/4,180.139998,14.90000022,676.8899914,4246.03,2895.55,0,,,,,,,,,,,,,,,,,,
2018/2/5,323.3000061,129.9999986,731.4450009,4600.73,2926.34,0,,,,,,,,,,,,,,,,,,
2018/2/6,617.2300089,353.0299981,2031.239989,5480.53,2930.57,0,,,,,,,,,,,,,,,,,,
2018/2/7,573.489992,404.6950053,1553.109992,3970.57,2374.05,0,,,,,,,,,,,,,,,,,,
2018/2/8,360.5999913,202.7200034,1191.900004,4438.15,3003.86,0,,,,,,,,,,,,,,,,,,
2018/2/9,241.4354375,105.3985708,915.5834678,4338.8325,2977.621818,0,,,,,,,,,,,,,,,,,,
2018/2/10,192.7211031,23.17142865,923.2198511,3706.0375,1972.448182,0,,,,,,,,,,,,,,,,,,
2018/2/11,198.9734622,16.10000023,795.8766721,3672.42,1597.88,0,,,,,,,,,,,,,,,,,,
